Uniprot_A	Uniprot_B	Gene_A	Gene_B	pmid:method:quality:type	taxid	high_quality	in_pdb_source
Q91YT0	Q9CXZ1	Ndufv1	Ndufs4	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91YT0	Q9D6J6	Ndufv1	Ndufv2	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91YT0	Q9Z1P6	Ndufv1	Ndufa7	29915388:0114:LC:binary|33067417:0114:LC:binary|33514727:0114:LC:binary|33990335:0114:LC:binary|35063503:0114:LC:binary|37531432:0114:LC:binary|38177503:0114:LC:binary|38575788:0114:LC:binary	10090	True	True
Q91YW3	Q91YW3	Dnajc3	Dnajc3	20184891:0114:LC:binary	10090	True	True
Q91Z69	Q91Z69	Srgap1	Srgap1	16857672:0114:LC:binary	10090	True	True
Q91ZK0	Q91ZK0	Tfap2d	Tfap2d	11522791:0096:LC:binary|20211142:0018:HT:binary	10090	True	False
Q91ZM2	Q91ZM2	Sh2b1	Sh2b1	16824542:0114:LC:binary	10090	True	True
Q91ZP3	Q91ZP3	Lpin1	Lpin1	34354069:0114:LC:binary	10090	True	True
Q91ZW2	Q91ZW2	Pofut1	Pofut1	28530709:0114:LC:binary	10090	True	True
Q91ZW3	Q9Z277	Smarca5	Baz1b	11980720:0006:LC:binary|11980720:0096:LC:binary|19470456:0006:LC:binary	10090	True	False
Q920D3	Q9CQI9	Med28	Med30	11591653:0018:HT:binary|11591653:0397:HT:binary|31402173:0114:LC:binary	10090	True	True
Q920D3	Q9D8C6	Med28	Med11	31402173:0114:LC:binary	10090	True	True
Q920D3	Q9DB40	Med28	Med27	31402173:0114:LC:binary	10090	True	True
Q920D3	Q9DB91	Med28	Med29	31402173:0114:LC:binary	10090	True	True
Q920F6	Q9CW03	Smc1b	Smc3	24797474:0006:LC:binary|24797475:0006:LC:binary	10090	True	False
Q920N1	Q920N1	Cimap1a	Cimap1a	37295417:0114:LC:binary	10090	True	True
Q920N1	Q9D439	Cimap1a	Cfap53	37295417:0114:LC:binary	10090	True	True
Q920Q2	Q9D752	Rev1	Mad2l2	14657033:0019:LC:binary|14657033:0096:LC:binary|14657033:0405:LC:binary|22859295:0114:LC:binary	10090	True	True
Q920Q2	Q9JJN0	Rev1	Polh	14657033:0018:LC:binary|14657033:0019:LC:binary|18242152:0018:LC:binary|22244149:0018:LC:binary	10090	True	False
Q920Q2	Q9QUG2	Rev1	Polk	14657033:0018:LC:binary|14657033:0019:LC:binary|14657033:0405:LC:binary|18242152:0018:LC:binary|22700975:0114:LC:binary|22859295:0114:LC:binary	10090	True	True
Q921D4	Q9D7W5	Med6	Med8	31402173:0114:LC:binary	10090	True	True
Q921E6	Q9Z248	Eed	Aebp2	20064375:0007:LC:binary|20064376:0007:LC:binary	10090	True	False
Q921J2	Q921J2	Rheb	Rheb	24648513:0114:LC:binary	10090	True	True
Q921M7	Q921M7	Cyrib	Cyrib	33217330:0114:LC:binary	10090	True	True
Q922G7	Q922G7	Tekt2	Tekt2	37295417:0114:LC:binary|37865089:0114:LC:binary|37989994:0114:LC:binary	10090	True	True
Q922G7	Q9D0B8	Tekt2	Ribc1	37295417:0114:LC:binary	10090	True	True
Q922G7	Q9D4K5	Tekt2	Cimip2a	37295417:0114:LC:binary	10090	True	True
Q922G7	Q9D9D8	Tekt2	Dusp21	37295417:0114:LC:binary|37989994:0114:LC:binary	10090	True	True
Q922G7	Q9D9T8	Tekt2	Efhc1	37295417:0114:LC:binary	10090	True	True
Q922G7	Q9DAG4	Tekt2	Spmip9	37295417:0114:LC:binary	10090	True	True
Q922G7	Q9DAJ2	Tekt2	Tekt1	37295417:0114:LC:binary|37865089:0114:LC:binary|37989994:0114:LC:binary	10090	True	True
Q922G7	Q9DAS2	Tekt2	Cimip2c	37295417:0114:LC:binary|37989994:0114:LC:binary	10090	True	True
Q922S8	Q922S8	Kif2c	Kif2c	28903043:0114:LC:binary	10090	True	True
Q923E4	Q9WTL8	Sirt1	Bmal1	18662546:0006:LC:binary|18662547:0006:LC:binary	10090	True	False
Q923J1	Q923J1	Trpm7	Trpm7	11389851:0114:LC:binary|30108148:0114:LC:binary|37156763:0114:LC:binary|38615321:0114:LC:binary	10090	True	True
Q924H2	Q99K74	Med15	Med24	31402173:0114:LC:binary	10090	True	True
Q924H2	Q9DB40	Med15	Med27	31402173:0114:LC:binary	10090	True	True
Q924H2	Q9DB91	Med15	Med29	31402173:0114:LC:binary	10090	True	True
Q924T2	Q99N87	Mrps2	Mrps5	35676484:0114:LC:binary	10090	True	True
Q924T2	Q9CQA6	Mrps2	Chchd1	35676484:0114:LC:binary	10090	True	True
Q924T2	Q9CY16	Mrps2	Mrps28	35676484:0114:LC:binary	10090	True	True
Q924T2	Q9D7N3	Mrps2	Mrps9	35676484:0114:LC:binary	10090	True	True
Q924T7	Q9WUB0	Rnf31	Rbck1	21455180:0006:LC:binary|21455180:0071:LC:binary|21455181:0006:LC:binary|23942237:0071:LC:binary|29694895:0096:LC:binary|29694895:0114:LC:binary	10090	True	True
