H2-Aa	TRAV14-3
H2-Aa	TRAV6D-7
Mbp	Mapk1
Mbp	Mapk3
Il5	Il5
Wnt1	Ryk
Saa3	Saa3
Slc4a1	Zap70
Prnp	Prnp
Prnp	Bcl2
Prnp	App
Prnp	Grb2
Prkaca	Prkaca
Prkaca	Prkar2a
Prkaca	Prkar2b
Prkaca	Pln
Prkaca	Pkia
Prkaca	Prkar1a
Got2	Got2
Tuba3a	Tuba3a
Tuba3a	Tubb4b
Tuba3a	Saxo4
Tuba3a	Tekt4
Tuba3a	Spag8
Tuba3a	Cfap107
Tuba3a	Pierce1
Tuba3a	Cfap52
Tuba3a	Mns1
Tuba3a	Spmip8
Tuba3a	Efcab6
Tuba3a	Cfap126
Tuba3a	Cfap161
Tuba3a	Enkur
Tuba3a	Tekt3
Tuba3a	Spaca9
Tuba3a	Cfap20
Tuba3a	Spmip11
Tuba3a	Efhb
Tuba3a	Cimap1a
Tuba3a	Tssk6
Tuba3a	Cfap95
Tuba3a	Spmip5
Tuba3a	Ribc1
Tuba3a	Cfap68
Tuba3a	Cfap53
Tuba3a	Efhc2
Tuba3a	Cimip2a
Tuba3a	Tektl1
Tuba3a	Ribc2
Tuba3a	Cfap141
Tuba3a	Spmip10
Tuba3a	Efhc1
Tuba3a	Cfap45
Tuba3a	Cfap276
Tuba3a	Spmip9
Tuba3a	Tekt1
Tuba3a	Pacrg
Tuba3a	Cfap90
Tuba3a	Cimip2c
Tuba3a	Nme7
Tuba3a	PIERCE2
Saa2	Saa2
Src	Src
Src	Prkce
Src	Eno1
Src	Cbl
Src	Ptk2
Src	Khdrbs1
Src	Bcar1
Src	Pxn
Kit	Kitlg
Kit	Pik3r1
Kit	Grb2
Itgam	Itgb2
Pdgfrb	Ptpn11
Pdgfrb	Plcg1
Jun	Tnf
Jun	Il1b
Jun	Spi1
Jun	Nos2
Jun	Stat3
Jun	Stat4
Jun	Atf4
Jun	Mapk8
Myl1	Myl11
Myl1	Myh4
Lck	Cd4
Lck	Ptprc
Lck	Hcls1
H2-T23	Klrc1
H2-Ab1	H2-Ab1
Nr3c1	Hsp90ab1
Nr3c1	Ncoa2
C9	C9
C5	C5
Gpi	Gpi
Enpp1	Enpp1
Tnf	Tnf
Tnf	Tnfrsf1a
Tnf	Rela
Plau	Plau
Plau	Plaur
Myb	Tal1
Myb	Crebbp
Csf1	Csf1
Csf1	Csf1r
Ttr	Ttr
Ifna4	Irf8
Anxa2	Anxa2
Anxa2	S100a10
Tyms	Tyms
Il4	Gata3
Il4	Stat6
Il4	Nfatc2
Il4	Irf4
Hsp90aa1	Chordc1
